iridium	noble	34	[('noble', 'JJ')]	True	False
cisplatin	chemotherapeutic	33	[('chemotherapeutic', 'JJ')]	True	False
mark	cosmetic	64	[('cosmetic', 'JJ')]	True	False
lg	popular	467	[('popular', 'JJ')]	True	False
dimethylformamide	aprotic	19	[('aprotic', 'JJ')]	True	False
clay	local	332	[('local', 'JJ')]	True	False
shortness of breath	severe	151	[('severe', 'JJ')]	True	False
jean	informal	18	[('informal', 'JJ')]	True	False
hydrogen	gaseous	27	[('gaseous', 'JJ')]	True	False
acetone	aprotic	19	[('aprotic', 'JJ')]	True	False
pencil	sharp	49	[('sharp', 'JJ')]	True	False
gypsum	industrial	201	[('industrial', 'JJ')]	True	False
audi	automotive	31	[('automotive', 'JJ')]	True	False
systematic desensitization	behavioral	65	[('behavioral', 'JJ')]	True	False
maximum likelihood	common	802	[('common', 'JJ')]	True	False
military	essential	297	[('essential', 'JJ')]	True	False
time	physical	686	[('physical', 'JJ')]	True	False
trimethoprim	oral	110	[('oral', 'JJ')]	True	False
bike	personal	635	[('personal', 'JJ')]	True	False
aldi	hard	160	[('hard', 'JJ')]	True	False
encryption	technological	54	[('technological', 'JJ')]	True	False
angiotensin converting enzyme inhibitor	pharmacological	36	[('pharmacological', 'JJ')]	True	False
fracture	traumatic	31	[('traumatic', 'JJ')]	True	False
bookkeeping	administrative	93	[('administrative', 'JJ')]	True	False
educational level	potential	99	[('potential', 'JJ')]	True	False
conductivity	abiotic	71	[('abiotic', 'JJ')]	True	False
carrot	small	653	[('small', 'JJ')]	True	False
tablet	personal	635	[('personal', 'JJ')]	True	False
semantic web	open	86	[('open', 'JJ')]	True	False
complete blood count	basic	667	[('basic', 'JJ')]	True	False
france	exotic	119	[('exotic', 'JJ')]	True	False
tortilla	whole	14	[('whole', 'JJ')]	True	False
fan	mechanical	187	[('mechanical', 'JJ')]	True	False
high salinity	environmental	592	[('environmental', 'JJ')]	True	False
employment	supplementary	33	[('supplementary', 'JJ')]	True	False
dextran	large	852	[('large', 'JJ')]	True	False
trash bag	consumable	67	[('consumable', 'JJ')]	True	False
tsunami	natural	709	[('natural', 'JJ')]	True	False
rotary	voluntary	12	[('voluntary', 'JJ')]	True	False
hydro	renewable	60	[('renewable', 'JJ')]	True	False
radio frequency identification	sophisticated	22	[('sophisticated', 'JJ')]	True	False
sleeplessness	somatic	28	[('somatic', 'JJ')]	True	False
beet	fresh	148	[('fresh', 'JJ')]	True	False
brazil	international	277	[('international', 'JJ')]	True	False
chocolate	small	653	[('small', 'JJ')]	True	False
clint eastwood	notable	42	[('notable', 'JJ')]	True	False
hypoxia	cellular	81	[('cellular', 'JJ')]	True	False
police	municipal	17	[('municipal', 'JJ')]	True	False
birth control pill	common	802	[('common', 'JJ')]	True	False
garlic	strong	145	[('strong', 'JJ')]	True	False
singapore	financial	212	[('financial', 'JJ')]	True	False
whole grain	good	61	[('good', 'JJ')]	True	False
dallas	big	266	[('big', 'JJ')]	True	False
menu	authentic	23	[('authentic', 'JJ')]	True	False
high performance liquid chromatography	analytical	77	[('analytical', 'JJ')]	True	False
conference calling	advanced	233	[('advanced', 'JJ')]	True	False
ireland	international	277	[('international', 'JJ')]	True	False
cube	regular	82	[('regular', 'JJ')]	True	False
city	large	852	[('large', 'JJ')]	True	False
nitrogen	environmental	592	[('environmental', 'JJ')]	True	False
serum	real	43	[('real', 'JJ')]	True	False
population density	exogenous	40	[('exogenous', 'JJ')]	True	False
body mass index	potential	99	[('potential', 'JJ')]	True	False
mtv	global	202	[('global', 'JJ')]	True	False
paperwork	heavy	207	[('heavy', 'JJ')]	True	False
bungee jumping	adventurous	20	[('adventurous', 'JJ')]	True	False
office building	large	852	[('large', 'JJ')]	True	False
gas	economic	142	[('economic', 'JJ')]	True	False
longitude	geographic	34	[('geographic', 'JJ')]	True	False
insect	biotic	17	[('biotic', 'JJ')]	True	False
social skill	basic	667	[('basic', 'JJ')]	True	False
hplc	instrumental	11	[('instrumental', 'JJ')]	True	False
throat	sensitive	195	[('sensitive', 'JJ')]	True	False
shock	medical	456	[('medical', 'JJ')]	True	False
healthcare	complex	256	[('complex', 'JJ')]	True	False
excipient	optional	126	[('optional', 'JJ')]	True	False
pub	local	332	[('local', 'JJ')]	True	False
x ray diffraction	conventional	429	[('conventional', 'JJ')]	True	False
natural gas	gaseous	27	[('gaseous', 'JJ')]	True	False
amount of adsorbent	effective	18	[('effective', 'JJ')]	True	False
deezer	international	277	[('international', 'JJ')]	True	False
life	national	122	[('national', 'JJ')]	True	False
grape	delicious	17	[('delicious', 'JJ')]	True	False
softball	athletic	32	[('athletic', 'JJ')]	True	False
blood pressure	conventional	429	[('conventional', 'JJ')]	True	False
crop residue	lignocellulosic	15	[('lignocellulosic', 'JJ')]	True	False
salami	italian	28	[('italian', 'JJ')]	True	False
policy	environmental	592	[('environmental', 'JJ')]	True	False
peptide	active	130	[('active', 'JJ')]	True	False
aggression	abnormal	11	[('abnormal', 'JJ')]	True	False
mayor	political	40	[('political', 'JJ')]	True	False
integrity	intangible	43	[('intangible', 'JJ')]	True	False
group	social	388	[('social', 'JJ')]	True	False
lima bean	healthy	115	[('healthy', 'JJ')]	True	False
collagen	temporary	54	[('temporary', 'JJ')]	True	False
ph	electrochemical	15	[('electrochemical', 'JJ')]	True	False
austria	western	106	[('western', 'JJ')]	True	False
stress	environmental	592	[('environmental', 'JJ')]	True	False
business meeting	unforeseen	24	[('unforeseen', 'JJ')]	True	False
shopping mall	large	852	[('large', 'JJ')]	True	False
congestion	external	443	[('external', 'JJ')]	True	False
glass fiber	modern	309	[('modern', 'JJ')]	True	False
euthanasia	controversial	22	[('controversial', 'JJ')]	True	False
electroporation	physical	686	[('physical', 'JJ')]	True	False
tangerine	fresh	148	[('fresh', 'JJ')]	True	False
read	basic	667	[('basic', 'JJ')]	True	False
poetry	literary	45	[('literary', 'JJ')]	True	False
alcohol abuse	addictive	19	[('addictive', 'JJ')]	True	False
erosion	physical	686	[('physical', 'JJ')]	True	False
tax	political	40	[('political', 'JJ')]	True	False
pant	disposable	41	[('disposable', 'JJ')]	True	False
sedum	small	653	[('small', 'JJ')]	True	False
peach	fresh	148	[('fresh', 'JJ')]	True	False
chest x-ray	diagnostic	65	[('diagnostic', 'JJ')]	True	False
modeling	instructional	22	[('instructional', 'JJ')]	True	False
trojans	external	443	[('external', 'JJ')]	True	False
enthusiasm	positive	70	[('positive', 'JJ')]	True	False
beach	famous	126	[('famous', 'JJ')]	True	False
carbon fiber	synthetic	126	[('synthetic', 'JJ')]	True	False
point	graphic	44	[('graphic', 'JJ')]	True	False
air	renewable	60	[('renewable', 'JJ')]	True	False
new york times	new	16	[('new', 'JJ')]	True	False
timber	extractive	10	[('extractive', 'JJ')]	True	False
government	political	40	[('political', 'JJ')]	True	False
air conditioning	desirable	29	[('desirable', 'JJ')]	True	False
water depth	abiotic	71	[('abiotic', 'JJ')]	True	False
nyc	large	852	[('large', 'JJ')]	True	False
lawyer	third	74	[('third', 'JJ')]	True	False
manganese	valuable	127	[('valuable', 'JJ')]	True	False
potato salad	traditional	682	[('traditional', 'JJ')]	True	False
field	open	86	[('open', 'JJ')]	True	False
contest	commercial	172	[('commercial', 'JJ')]	True	False
flavoring	conventional	429	[('conventional', 'JJ')]	True	False
cough	typical	82	[('typical', 'JJ')]	True	False
butyl alcohol	aliphatic	53	[('aliphatic', 'JJ')]	True	False
liverpool	large	852	[('large', 'JJ')]	True	False
raisin	common	802	[('common', 'JJ')]	True	False
iron	beneficial	42	[('beneficial', 'JJ')]	True	False
homework	quiet	10	[('quiet', 'JJ')]	True	False
door	external	443	[('external', 'JJ')]	True	False
grassland	open	86	[('open', 'JJ')]	True	False
hotel	large	852	[('large', 'JJ')]	True	False
transcription	dynamic	54	[('dynamic', 'JJ')]	True	False
masonry	durable	64	[('durable', 'JJ')]	True	False
chondroitin	nutritional	48	[('nutritional', 'JJ')]	True	False
safeway	large	852	[('large', 'JJ')]	True	False
florida	southern	60	[('southern', 'JJ')]	True	False
elephant	african	36	[('african', 'JJ')]	True	False
topography	regional	56	[('regional', 'JJ')]	True	False
dimension	complex	256	[('complex', 'JJ')]	True	False
lane departure warning	advanced	233	[('advanced', 'JJ')]	True	False
canvas	natural	709	[('natural', 'JJ')]	True	False
chromatography	conventional	429	[('conventional', 'JJ')]	True	False
nursing home	residential	11	[('residential', 'JJ')]	True	False
banana	exotic	119	[('exotic', 'JJ')]	True	False
property foreclosure	undesirable	45	[('undesirable', 'JJ')]	True	False
attendance	personal	635	[('personal', 'JJ')]	True	False
polyolefin	organic	355	[('organic', 'JJ')]	True	False
memory	electronic	281	[('electronic', 'JJ')]	True	False
rock	heavy	207	[('heavy', 'JJ')]	True	False
scabies	parasitic	15	[('parasitic', 'JJ')]	True	False
facility	local	332	[('local', 'JJ')]	True	False
edgar degas	famous	126	[('famous', 'JJ')]	True	False
education	observable	14	[('observable', 'JJ')]	True	False
enkephalin	endogenous	38	[('endogenous', 'JJ')]	True	False
dna	scientific	55	[('scientific', 'JJ')]	True	False
polyimide	organic	355	[('organic', 'JJ')]	True	False
solution	customary	11	[('customary', 'JJ')]	True	False
copper	electrical	163	[('electrical', 'JJ')]	True	False
stomach ulcer	medical	456	[('medical', 'JJ')]	True	False
polygon	complex	256	[('complex', 'JJ')]	True	False
silicone rubber	elastic	21	[('elastic', 'JJ')]	True	False
noise	unpleasant	41	[('unpleasant', 'JJ')]	True	False
hiking	regular	82	[('regular', 'JJ')]	True	False
bankruptcy	financial	212	[('financial', 'JJ')]	True	False
age	physical	686	[('physical', 'JJ')]	True	False
negligible vapor pressure	physicochemical	72	[('physicochemical', 'JJ')]	True	False
desert	geographical	32	[('geographical', 'JJ')]	True	False
plga	synthetic	126	[('synthetic', 'JJ')]	True	False
screen reader	assistive	15	[('assistive', 'JJ')]	True	False
urea	functional	143	[('functional', 'JJ')]	True	False
xanthine oxidase	soluble	36	[('soluble', 'JJ')]	True	False
parking	nice	15	[('nice', 'JJ')]	True	False
whole grain bread	common	802	[('common', 'JJ')]	True	False
cabbage	horticultural	11	[('horticultural', 'JJ')]	True	False
alarm clock	electronic	281	[('electronic', 'JJ')]	True	False
heart attack	critical	172	[('critical', 'JJ')]	True	False
pant	suitable	205	[('suitable', 'JJ')]	True	False
quiz	interactive	57	[('interactive', 'JJ')]	True	False
cerebrospinal fluid	clinical	183	[('clinical', 'JJ')]	True	False
wardrobe	modern	309	[('modern', 'JJ')]	True	False
raccoon	potential	99	[('potential', 'JJ')]	True	False
smart card	physical	686	[('physical', 'JJ')]	True	False
gas	unpleasant	41	[('unpleasant', 'JJ')]	True	False
coin	small	653	[('small', 'JJ')]	True	False
egg	natural	709	[('natural', 'JJ')]	True	False
arsenic	hazardous	102	[('hazardous', 'JJ')]	True	False
indoor pool	great	178	[('great', 'JJ')]	True	False
gymnasium	common	802	[('common', 'JJ')]	True	False
facial expression	visual	96	[('visual', 'JJ')]	True	False
rotary club	local	332	[('local', 'JJ')]	True	False
polymethylmethacrylate	thermoplastic	33	[('thermoplastic', 'JJ')]	True	False
hurt	negative	109	[('negative', 'JJ')]	True	False
fax	electronic	281	[('electronic', 'JJ')]	True	False
language	academic	69	[('academic', 'JJ')]	True	False
bosch	large	852	[('large', 'JJ')]	True	False
basil	classic	86	[('classic', 'JJ')]	True	False
decane	aliphatic	53	[('aliphatic', 'JJ')]	True	False
switzerland	western	106	[('western', 'JJ')]	True	False
sram	volatile	92	[('volatile', 'JJ')]	True	False
gasoline	strong	145	[('strong', 'JJ')]	True	False
carrot	fresh	148	[('fresh', 'JJ')]	True	False
fatigue	physical	686	[('physical', 'JJ')]	True	False
antique	valuable	127	[('valuable', 'JJ')]	True	False
wildlife service	federal	114	[('federal', 'JJ')]	True	False
florence	large	852	[('large', 'JJ')]	True	False
head	sensitive	195	[('sensitive', 'JJ')]	True	False
souvenir	personal	635	[('personal', 'JJ')]	True	False
microcrystalline cellulose	inactive	16	[('inactive', 'JJ')]	True	False
mental health	sensitive	195	[('sensitive', 'JJ')]	True	False
pdas	mobile electronic	19	[('mobile', 'JJ'), ('electronic', 'JJ')]	True	False
compuserve	national	122	[('national', 'JJ')]	True	False
cardboard boxes	combustible	79	[('combustible', 'JJ')]	True	False
brass	architectural	54	[('architectural', 'JJ')]	True	False
social	positive	70	[('positive', 'JJ')]	True	False
climate change	common	802	[('common', 'JJ')]	True	False
incontinence garment	disposable	41	[('disposable', 'JJ')]	True	False
liberalism	political	40	[('political', 'JJ')]	True	False
guangxi	southern	60	[('southern', 'JJ')]	True	False
shanghai	large	852	[('large', 'JJ')]	True	False
lettuce	tiny	10	[('tiny', 'JJ')]	True	False
temperature	essential	297	[('essential', 'JJ')]	True	False
kidney	soft	247	[('soft', 'JJ')]	True	False
soup	healthy	115	[('healthy', 'JJ')]	True	False
potential	electrical	163	[('electrical', 'JJ')]	True	False
home	great	178	[('great', 'JJ')]	True	False
hardness	physical	686	[('physical', 'JJ')]	True	False
emirates	middle eastern	13	[('middle', 'JJ'), ('eastern', 'JJ')]	True	False
