concept	property	prop_count	pos_tag	is_only_adj
iridium	noble	34	[('noble', 'JJ')]	True
cisplatin	chemotherapeutic	33	[('chemotherapeutic', 'JJ')]	True
mark	cosmetic	64	[('cosmetic', 'JJ')]	True
lg	popular	467	[('popular', 'JJ')]	True
posture	nonverbal	7	[('nonverbal', 'JJ')]	True
dimethylformamide	aprotic	19	[('aprotic', 'JJ')]	True
clay	local	332	[('local', 'JJ')]	True
shortness of breath	severe	151	[('severe', 'JJ')]	True
jean	informal	18	[('informal', 'JJ')]	True
hydrogen	gaseous	27	[('gaseous', 'JJ')]	True
acetone	aprotic	19	[('aprotic', 'JJ')]	True
pencil	sharp	49	[('sharp', 'JJ')]	True
gypsum	industrial	201	[('industrial', 'JJ')]	True
audi	automotive	31	[('automotive', 'JJ')]	True
systematic desensitization	behavioral	65	[('behavioral', 'JJ')]	True
maximum likelihood	common	802	[('common', 'JJ')]	True
military	essential	297	[('essential', 'JJ')]	True
time	physical	686	[('physical', 'JJ')]	True
trimethoprim	oral	110	[('oral', 'JJ')]	True
bike	personal	635	[('personal', 'JJ')]	True
aldi	hard	160	[('hard', 'JJ')]	True
encryption	technological	54	[('technological', 'JJ')]	True
angiotensin converting enzyme inhibitor	pharmacological	36	[('pharmacological', 'JJ')]	True
fracture	traumatic	31	[('traumatic', 'JJ')]	True
bookkeeping	administrative	93	[('administrative', 'JJ')]	True
educational level	potential	99	[('potential', 'JJ')]	True
conductivity	abiotic	71	[('abiotic', 'JJ')]	True
carrot	small	653	[('small', 'JJ')]	True
tablet	personal	635	[('personal', 'JJ')]	True
semantic web	open	86	[('open', 'JJ')]	True
complete blood count	basic	667	[('basic', 'JJ')]	True
france	exotic	119	[('exotic', 'JJ')]	True
tortilla	whole	14	[('whole', 'JJ')]	True
fan	mechanical	187	[('mechanical', 'JJ')]	True
high salinity	environmental	592	[('environmental', 'JJ')]	True
employment	supplementary	33	[('supplementary', 'JJ')]	True
dextran	large	852	[('large', 'JJ')]	True
trash bag	consumable	67	[('consumable', 'JJ')]	True
tsunami	natural	709	[('natural', 'JJ')]	True
rotary	voluntary	12	[('voluntary', 'JJ')]	True
hydro	renewable	60	[('renewable', 'JJ')]	True
radio frequency identification	sophisticated	22	[('sophisticated', 'JJ')]	True
sleeplessness	somatic	28	[('somatic', 'JJ')]	True
beet	fresh	148	[('fresh', 'JJ')]	True
brazil	international	277	[('international', 'JJ')]	True
chocolate	small	653	[('small', 'JJ')]	True
clint eastwood	notable	42	[('notable', 'JJ')]	True
hypoxia	cellular	81	[('cellular', 'JJ')]	True
police	municipal	17	[('municipal', 'JJ')]	True
birth control pill	common	802	[('common', 'JJ')]	True
garlic	strong	145	[('strong', 'JJ')]	True
