animals	animal species,megaherbivores,wide ranging benthivores,large bodied taxa,phocids,vertebrate animal,mega herbivores,amniotes,small wildlife,non mammals
mammals	native mammal,wild mammal,common mammal,terrestrial mammal,non mammals,domestic mammal,herbivorous mammal,land mammal
placentals	amniotes,non mammals,lambeosaurines,vertebrate animal,cold blooded vertebrate,primitive vertebrate,arboreal mammalian folivores
quadrupeds	cursorial quadruped,hoofed mammal,amniotes,arboreal mammalian folivores,north america larger canivores
vertebrates	vertebrate animal,wide ranging benthivores,large bodied taxa,primitive vertebrate,animal species,non mammalian vertebrate,terrestrial vertebrate
capable of burrows	small furry,megaherbivores,amniotes,wide ranging benthivores,arboreal mammalian folivores,nonhuman animal,non mammals
logical arguments	argument,mode of reasoning,complex premise,proposition,logic,axiomatic principle,inference,kind of logic,deduction,standard inference
educational organizations	nonprofit educational organization,educational establishment,informal education center,educational institution
establishments	commercial establishment,article smaller establishment,facilities,public establishment,business establishment,commercial facility,food establishment
schools	reputable school,fbs school,established school,private school,for-profit school,model school,educational institution,local school
institutions	regulative institution,basic institution,supranational institution
secondary schools	secondary institution,fbs school,school,private school,local school,reputable school
plastic surgery	plastic surgery procedure,plastic surgery treatment,facial plastic surgery procedure,facial plastic surgery treatment,facial surgery,ablative surgery,invasive surgery,reconstuctive surgery,orthopedic surgery
blood groups	blood component,blood element,mitochondrial parameter,blood factor,serum biochemical index,blood protein
cloth	soft cloth,heavy cloth,lint free cloth,soft cotton cloth,pre treated cloth,fabric,twilled fabric,man-made fabric
fabric	twilled fabric,fabric material,natural fabric,traditional fabric,suitable fabric,synthetic fabric,durable fabric
games	playing game,popular game,game type
gastropods	mollusk,bivalve mollusk,mollusc
mollusks	bivalve mollusk,gastropod,bivalve molluscan shellfish,bivalve mollusc,molluscan shellfish,coastal mollusc,marine mollusc,mollusc
shellfishs	molluscan shellfish,bivalve shellfish,bivalve molluscan shellfish,shell fish,filter-feeding shellfish,small panfish
snails	carnivorous gastropod snail,terrestrial snail,freshwater snail,gastropod,mollusk,predatory marine snail,bivalve mollusk,cephalopod mollusc,molluscan shellfish
disposals	disposal method,disposal technique,disposal option,collection action,extraordinary disposal,removal process,material removal process,waste process,collection activity
rejection	withdrawal,degradation,removal,degradation process
moderation	institutional readiness,nancial regulation,workplace flexibility,accomodation
nuisances	form of nuisance,nuisance event,nuisance issue,nuisance problem,environmental nuisance,serious violation,violation,traffic infringement,common violation
churchs	liturgical church,ancient church,christian church,famous church,notable church,protestant church
homes	house,multifamily home,multi-family dwelling,residential establishment,seasonal home
monasteries	monastery order,monastic order,religious institution
places of worship	religious place,religious site,religious building,folk religious temple,notable church,liturgical church,famous church,ancient church
acronyms	common abbreviation,abbreviation,abbreviated word,written abbreviation,shorthand designation,latin abbreviation,letter word,digraph
decrease	time element loss,unimportant change,qualitative loss
forms	material form,simple form,form section,nature s form,fixed form,geometric form
shortening	extension,simple extension,trim change
resignation	withdrawal,finality,invalid submission
captures	capture situation,capture mode,acquisition
motion	movement,complex motion,physical movement,mechanical motion,typesof movement,type of movement,body movement,simple movement
operations	rman operation,secondary operation,notable operation
medical procedures	basic medical procedure,routine medical procedure,hospital procedure,routine healthcare procedure
diseases	medical disease,clinical disease,human disease,common disease,typical disease,complex disease,physical disease
issues	external issue,substantive issue,core issue,salient issue,concrete issue,organizational issue,complex issue,key issue
terminations	termination property,termination sequence,end closure,withdrawal,inactivation method,forced induction
skeletal muscles	upper body muscle,muscle,postural muscle,core muscle,muscle organ,large muscle,large muscle group,longitudinal muscle
serve	table service duty,act,food offering,rim offering,offer,offering dish,salutation,interjection,finishing service
magazines	popular magazine,prestigious magazine,prominent magazine,famous magazine,weekly magazine,notable magazine
experts	professionals,war party s experts,professional personnel
playing cards	traditional card game,card game,popular solitaire card game
software	software product,commercial software,proprietary software,application software
groups	sub groups,basic group,subgroup,group class,sometimes particular group,organized group,functional group,collective group,hyperdiverse group
mental disorder	common mental disorder,serious mental disorder,mental health disorder,severe mental disorder,common mental health disorder,mental disease,mental illness,psychological disorder,common mental illness
cognition	aspect of cognition,cognitive function,high level cognition,cognitive aspect
dispositions	personality disposition,temperament,personality characteristic,positive disposition,mental attitude
quality	inherent quality,fundamental quality,physical quality,quality characteristic,intrinsic object quality,personal quality,human quality
erosion	erosion feature,soil disturbance,unconsolidated formation,erosional feature,deterioration,structural aberration,carbonate formation,formation degradation,surface modification,defilement
discrimination	type of discrimination,form of discrimination,prejudice,bias,human bias,behavioral bias
rituals	religious ritual,today s ritual,christian ritual,traditional ceremony,religious ceremony,religious initiatory ritual,rite,ceremony ritual element
wash	cleaning activity,cleaning task,wash cycle,wash small item,cleaning method,physical cleaning strategy,rinse off product
cells	animal cell,progenitor cell,human cell,somatic cell,chemotactic cell,dendritic cell
retardation	self destructive behavior,psychological morbidity,derangement,compulsive behavior,psychological co morbidity,maladaptive behavior,mental defilement,externalizing disorder
doctrines	christian doctrine,central doctrine,non western moral and religious philosophy,basic christian doctrine,theological concept,religious principle,nontrinitarian view,catholic doctrine,secular idea
people	folks,non individuals,subject people,european people,individuals characteristic,real personalities,human being,distant people
reformers	antievolutionists,moderate reformer,anti-federalists,anti federalists,radical reformist,prominent contemporary anti utilitarians
transgression	serious transgression,sin,personal crime,victimless crime,atrocity,crimes of passion
bands	grunge band,legendary band,rock band,uk band,better known band,go go band,sub bands
medical treatments	nonsurgical treatment,non medical treatment,medicine treatment,clinical treatment,symptomatic treatment,non-surgical treatment,nonmedical treatment
breathing	breathing exercise,breathing technique,artificial respiration,breathing condition,normal physiological movement,breathing irregularity
aircrafts	large aircraft,stovl aircraft,jet aircraft,cold war aircraft,american aircraft,light aircraft,hypersonic aircraft,small aircraft,commercial aircraft
capable of bombs	specialised bomb,explosive,high explosive,explosive weapon,energetic weapon,directed energy weapon,low explosive,explosive driver
capable of stalls	perform high speed stunt,mean of transportation,mean of transport,tow smaller size trailer,motorized equipment,mean of public transport,motorized vehicle,non motorized vehicle,largercarriers
capable of taxis	mean of transportation,mean of public transport,form of public transportation,public or private transportation,public transport,personal mean of transportation,public mean of transportation
films	feature film,popular film,hollywood film
located in air	atmospheric component,air characteristic,minor atmospheric component
located in aircraft carriers	aircraft equipment,aircraft component,aircraft system,modern avionic equipment,support aircraft,aircraft structure,sophisticated aircraft system,crew equipment,standard naval equipment
located in hangars	aircraft equipment,modern avionic equipment,aviation machinery,small aircraft,aircraft component
located in hangers	dangling clothing,hang heavy item,hanging clothing,personal and household item,small clothing item
located in skies	flying types,event over the air,flying debris,flying object,sky phenomenon,deep sky object,light absorbing aerosol,non stationary background object
located in war	aspect of military importance,modern military concept,constant war,fighting types,war related item
used for air transportation	mean of transportation,form of transportation,mean of transport,form of transport,type of transportation
used for cargo	bulk cargo,cargo equipment,common bulk cargo,cargo,dry bulk cargo,cargo carrier,deck cargo,shipping material
used for flies	flying types,flying object,fly,flying debris
used for flight	flying types,aerodynamic aircraft,large aircraft,aerobatic,flying object,lighter than air or rotary wing aircraft,small aircraft,fast jet,small fast plane
used for flying	flying types,flying object,flying animal,aerobatic,flying debris,aerodynamic aircraft,basic aerobatic maneuver,lighter than air or rotary wing aircraft
used for transport	mean of transport,mean of transportation,form of transport,form of transportation,transport equipment
used for transportation	mean of transportation,form of transportation,mean of transport
used for travel	form of transportation,mean of transportation,mode of travel,method of transportation,form of transport,mean of transport,mode of transportation,type of transportation,transportation source,public or private transportation
used for traveling	form of transportation,mean of transportation,mode of transportation,method of transportation,mode of travel,type of transportation,form of transport,mean of transport
used for warfare	heavy weaponry,weaponry,warfare,armed technique,modern military concept
vehicles	motorised vehicle,motor vehicle,modern vehicle,common vehicle,conventional vehicle,towed vehicle,two-wheeled vehicle,simple vehicle
have propellers	small aircraft,large aircraft,wide body aircraft
have wheels	simple vehicle,single track vehicle,scooter a two axled vehicle,oversized vehicle,popular vehicle,motorized vehicle,modern vehicle,straddle type vehicle,motor vehicle
have wings	flying types,flying animal,fly,non flying bird,flying vertebrate
capable of crashs	mean of transportation,featuring advanced aerodynamic design measure,featuring sophisticated aerodynamic design measure,mean of transport,perform high speed stunt,oversized vehicle,nonaqueous vehicle
capable of near airports	mean of transportation,perform high speed stunt,in flight passenger service,mean of public transport,largercarriers,mean of transport,public or private transportation
part of patents	patent,u s patent,united state patent
summaries	summary information,summarization technique,written material,summarization objective,descriptive text,written work
inaction	inactivity,temporary absence,discontinuity,withdrawal
self discipline	self care,self care and practical skill,self care behavior,self management skill,professional attitude,self care skill,moral virtue,competence
preoccupation	self conscious emotion,curiosity,self-conscious emotion,social emotion,innate desire,reactive emotion,mental attitude,complex social emotion,repressed feeling
wounds	superficial wound,minor wound,skin wound,non healing wound,chronic wound,acute wound,superficial injury
injuries	physical injury,common injury,personal injury,minor injury,serious injury,painful injury
materials	type of material,high quantity material,superior material,physical material,basic material,medium material,preciou material,generally nondistensible material,industrial material
illnesses	medical illness,secondary illness,physical illness,common illness,temporary illness
symptoms	neurological manifestation,common neurological manifestation,mild manifestation,concomitant symptom,psychiatric manifestation,physical symptom,transient symptom,hemorrhagic manifestation,generalized symptom,nonmotor symptom
chemical compounds	organochlorine compound,cationic compound,azole compound,azo compound,volatile amine,sulfonic acid compound,organohalogen compound
plant hormones	anabolic hormone,calciotropic hormone,natriuretic hormone,synthetic hormone,environmental estrogen,synthetic estrogen,natural estrogen,natural plant hormone,monoamine hormone
lack	absence,inaccuracy,inconsistency,kind of structural incompleteness,abstract loss,inefficiency,vacancy,insufficiency,perceived physical limitation
time intervals	interval,time,time frame
ballots	preferential voting system,voting booth component,election,runoff voting rule,voting algorithm,potential voting right,poll,positive checks,photo identity proof,card scheme
travelers	winter visitor,holidaymakers,nonimmigrants,ecotourists
bsence	thefundmaybeunabletosellcertainsecurities,acessories,accomodation,externality,positive externality,zwitterions,colligative property
magnitudes	macroscopic quantity,ordinal quantity,quantity
sorption	chemical change,physico chemical change,ultrastructural alteration,chemical effect
natural processes	physical and chemical process,dynamic process,physical process,thermodynamic process,external process,background biological process,natural subsurface process
part of extinction	gradual cause,catastrophic consequence,temporal change,order aberration,biological change,haemodynamic change,evolutionary event,chemical change,aspect of climate change,secondary change
monarchies	hierarchic aristocracy,long lasting kingdom,kingdom,theocratic government,empire,dynasty,sovereign power,monarch,independent kingdom
norms	social norm,stringent specification,stringent criterion,moral rule,legal principle,moral law,regulation requirement
abstraction	modern abstraction,high level abstraction,mental abstraction,abstraction technique,abstract concept
conditions	external condition,surrounding condition,material condition,ambient condition,environment condition,variable condition,constant condition,initial condition
part of penance	sacramental act,extra sacramental penitential work,ritual duty,religious duty,priestly duty,religious ritual
redemptions	recovery,baptism,sacramental act,finality,restoration
dominance	dominion,social rule,cultural control
sorbents	solid sorbent,typical sorbent,sorbent material,oilseed material,sorbent particulate material,low cost sorbent
absorbent materials	suitable absorbent material,inert absorbent material,absorbent or porous material,absorbable material,disposable absorbent material,porous or absorbent material,absorbent composition,absorbent product
scholars	experts,modern scholar,egyptologists,contemporary scholar,pioneer scholar,emotivists,western scholar,ancient scholar,foundationalists
educators	noncertified educator,area educator,professionals
doctors	medical doctor,physician,medical specialist,clinical specialist,clinician,medical practitioner,hospital based physician,hospital-based physician,clinical professional
concepts	abstract concept,notion,semantic concept,basic concept,abstract idea,conceptual idea,fundamental semantic concept,fundamental concept,physical concept
entities	named entity,abstract entity,physical entity,pass through entity,being,complex entity
paintings	historic painting,historical painting,artwork,famous painting,nude and still life painting,portrait
removals	removal process,removal technique,material removal process,removal mechanism,extracorporeal removal technique,electrochemical removal process,mechanical removal method,separation process,external modification
folly	unsportsmanlike behavior,dishonesty,dishonest behavior,unsportsmanlike conduct
nonsense	useless comment,inappropriate language,funny stuff,derogatory information,degrading comment,derogatory remark,provocative humor,annoying content,disturbing or annoying material
quantities	physical quantity,mechanical quantity,layer physical quantity,ordinal quantity,macroscopic quantity,derived quantity
ratios	ratio measure,accounting ratio,coefficient,proportion datum,density independent factor
situations	circumstance,predefined situation,physical situation,external circumstance
disrespect	contempt,insult,dishonesty,hostility,misconduct,verbal abuse,offensive behavior,hostile gesture,anti social behavior,dishonest behavior
wrongdoers	debonders,false leaders,criminals counter measure activity,manipulatives,exploiter,offender,abjads,non individuals,defendant,people
points	datum point,positive point,latitude,feature point,reference position
support	material support,solid support,strong support,mechanical support
legumes	forage legume,crop legume,food legume,grain legume,deep rooted legume,legume crop
trees	tree species,understory tree,conifer tree,coniferous tree,softwood tree,fruiting tree,indigenous tree,evergreen tree
woody plants	woody herb,woody crop,basal plant,ground cover plant,emergent plant,leafy plant
worlds	realm,part of the world,real world domain,real domain,virtual world,planet,galaxy,inner planet
administrators	administrator's title,school administrator,administrative position,executive officer,high level manager,custodian,civil servant,senior management official,professional personnel
departments	organizational department,corporate department,administrative department,localized department,operational department,functional department,government department
freedom	basic freedom,liberty,civil liberty
educational programs	educational programming,educational material,educational service,educational resource,education program,structured educational activity,educational method
researchers	research scientist,morphologists,experts,egyptologists,scientist,professionals,intermediate researcher
skilled workers	craftworkers,skilled trade worker,skilled laborer,tradespeople,skilled employee,industrial worker,extraction craft worker,professional worker
specialists	bact eriologists,morphologists,clinical specialist,clinical professional,medical specialist,clinician,medical scientist,medical professional
businesspersons	business owner,business professional,service business owner,financier,business leader,corporate indicaters,tradespeople,professionals,retail strategist
